           x            y            z          sx          sy          sz          JH           t         Phi
  45.0000000  105.0000000    0.0000000   0.0888380   0.0888270   0.9920770  -0.0400000  -1.0000000   0.0000000
  60.0000000  105.0000000    0.0000000   0.3838510   0.1335590   0.9136850  -0.0400000  -1.0000000   0.0000000
  75.0000000  105.0000000    0.0000000   0.5886520  -0.0000920   0.8083860  -0.0400000  -1.0000000   0.0000000
  90.0000000  105.0000000    0.0000000   0.3834390  -0.1335570   0.9138580  -0.0400000  -1.0000000   0.0000000
 105.0000000  105.0000000    0.0000000   0.0887160  -0.0887040   0.9920990  -0.0400000  -1.0000000   0.0000000
 120.0000000  105.0000000    0.0000000   0.0122600  -0.0209030   0.9997060  -0.0400000  -1.0000000   0.0000000
 135.0000000  105.0000000    0.0000000   0.0015050  -0.0035380   0.9999930  -0.0400000  -1.0000000   0.0000000
 150.0000000  105.0000000    0.0000000   0.0002020  -0.0004590   1.0000000  -0.0400000  -1.0000000   0.0000000
   0.0000000  120.0000000    0.0000000   0.0000840   0.0001110   1.0000000  -0.0400000  -1.0000000   0.0000000
  15.0000000  120.0000000    0.0000000   0.0005300   0.0007380   1.0000000  -0.0400000  -1.0000000   0.0000000
  30.0000000  120.0000000    0.0000000   0.0035540   0.0035540   0.9999870  -0.0400000  -1.0000000   0.0000000
  45.0000000  120.0000000    0.0000000   0.0209350   0.0122720   0.9997060  -0.0400000  -1.0000000   0.0000000
  60.0000000  120.0000000    0.0000000   0.0839400   0.0164960   0.9963340  -0.0400000  -1.0000000   0.0000000
  75.0000000  120.0000000    0.0000000   0.1375740  -0.0000110   0.9904910  -0.0400000  -1.0000000   0.0000000
  90.0000000  120.0000000    0.0000000   0.0838410  -0.0164990   0.9963430  -0.0400000  -1.0000000   0.0000000
 105.0000000  120.0000000    0.0000000   0.0209040  -0.0122570   0.9997060  -0.0400000  -1.0000000   0.0000000
 120.0000000  120.0000000    0.0000000   0.0035490  -0.0035480   0.9999870  -0.0400000  -1.0000000   0.0000000
 135.0000000  120.0000000    0.0000000   0.0005290  -0.0007370   1.0000000  -0.0400000  -1.0000000   0.0000000
 150.0000000  120.0000000    0.0000000   0.0000840  -0.0001110   1.0000000  -0.0400000  -1.0000000   0.0000000
   0.0000000  135.0000000    0.0000000   0.0000250   0.0000230   1.0000000  -0.0400000  -1.0000000   0.0000000
  15.0000000  135.0000000    0.0000000   0.0001320   0.0001320   1.0000000  -0.0400000  -1.0000000   0.0000000
  30.0000000  135.0000000    0.0000000   0.0007390   0.0005300   1.0000000  -0.0400000  -1.0000000   0.0000000
  45.0000000  135.0000000    0.0000000   0.0035430   0.0015060   0.9999930  -0.0400000  -1.0000000   0.0000000
  60.0000000  135.0000000    0.0000000   0.0122140   0.0018430   0.9999240  -0.0400000  -1.0000000   0.0000000
  75.0000000  135.0000000    0.0000000   0.0198700  -0.0000010   0.9998030  -0.0400000  -1.0000000   0.0000000
  90.0000000  135.0000000    0.0000000   0.0122000  -0.0018440   0.9999240  -0.0400000  -1.0000000   0.0000000
 105.0000000  135.0000000    0.0000000   0.0035380  -0.0015050   0.9999930  -0.0400000  -1.0000000   0.0000000
 120.0000000  135.0000000    0.0000000   0.0007380  -0.0005290   1.0000000  -0.0400000  -1.0000000   0.0000000
 135.0000000  135.0000000    0.0000000   0.0001320  -0.0001310   1.0000000  -0.0400000  -1.0000000   0.0000000
 150.0000000  135.0000000    0.0000000   0.0000240  -0.0000220   1.0000000  -0.0400000  -1.0000000   0.0000000
   0.0000000  150.0000000    0.0000000   0.0000050   0.0000050   1.0000000  -0.0400000  -1.0000000   0.0000000
  15.0000000  150.0000000    0.0000000   0.0000230   0.0000240   1.0000000  -0.0400000  -1.0000000   0.0000000
  30.0000000  150.0000000    0.0000000   0.0001110   0.0000840   1.0000000  -0.0400000  -1.0000000   0.0000000
  45.0000000  150.0000000    0.0000000   0.0004590   0.0002020   1.0000000  -0.0400000  -1.0000000   0.0000000
  60.0000000  150.0000000    0.0000000   0.0013710   0.0002270   0.9999990  -0.0400000  -1.0000000   0.0000000
  75.0000000  150.0000000    0.0000000   0.0021230  -0.0000000   0.9999980  -0.0400000  -1.0000000   0.0000000
  90.0000000  150.0000000    0.0000000   0.0013700  -0.0002270   0.9999990  -0.0400000  -1.0000000   0.0000000
 105.0000000  150.0000000    0.0000000   0.0004590  -0.0002020   1.0000000  -0.0400000  -1.0000000   0.0000000
 120.0000000  150.0000000    0.0000000   0.0001110  -0.0000840   1.0000000  -0.0400000  -1.0000000   0.0000000
 135.0000000  150.0000000    0.0000000   0.0000220  -0.0000240   1.0000000  -0.0400000  -1.0000000   0.0000000
 150.0000000  150.0000000    0.0000000   0.0000050  -0.0000050   1.0000000  -0.0400000  -1.0000000   0.0000000




